Date,Open,High,Low,Close,Adj Close,Volume
2020-04-09,228.5,228.5,217.0,217.0,208.5655975341797,1835726
2020-04-10,218.0,238.5,215.5,238.5,229.22991943359375,5626015
2020-04-13,244.0,261.0,241.0,254.0,244.12745666503906,10797833
2020-04-14,258.5,264.5,249.5,257.0,247.01084899902344,7998557
2020-04-15,258.5,261.0,251.5,257.0,247.01084899902344,3340130
2020-04-16,251.5,260.0,251.5,259.0,248.93313598632812,2589516
2020-04-17,264.0,269.5,248.0,248.0,238.3606719970703,2642640
2020-04-20,253.0,255.5,244.5,244.5,234.9967041015625,2090728
2020-04-21,245.5,253.0,234.5,236.5,227.30764770507812,2288460
2020-04-22,239.0,245.5,233.5,236.5,227.30764770507812,2604070
2020-04-23,241.0,255.0,238.0,246.0,236.43841552734375,3919492
2020-04-24,249.0,252.5,245.0,246.5,236.91897583007812,2707170
2020-04-27,249.0,250.0,244.0,247.0,237.39955139160156,1246285
2020-04-28,250.0,262.5,249.5,249.5,239.8023681640625,4360373
2020-04-29,252.0,253.0,248.0,250.0,240.28292846679688,1300520
2020-04-30,252.5,256.5,250.0,250.5,240.76348876953125,1522365
2020-05-04,248.0,255.0,242.0,251.5,241.72463989257812,1430286
2020-05-05,251.5,255.0,249.0,249.0,239.32180786132812,1176280
2020-05-06,251.0,252.5,249.0,249.0,239.32180786132812,590648
2020-05-07,252.0,261.0,250.0,254.5,244.6080322265625,3568580
2020-05-08,258.0,259.5,252.5,257.0,247.01084899902344,1447484
2020-05-11,262.0,262.0,256.0,256.5,246.53030395507812,1489860
2020-05-12,258.0,265.5,254.5,256.5,246.53030395507812,3001371
2020-05-13,258.5,259.0,250.0,251.0,241.2440643310547,1363525
2020-05-14,251.0,254.0,237.0,238.0,228.7493438720703,1452462
2020-05-15,243.0,243.5,234.0,238.5,229.22991943359375,907381
2020-05-18,239.0,243.0,234.0,242.0,232.59390258789062,894376
2020-05-19,247.5,248.0,241.5,242.5,233.07443237304688,675030
2020-05-20,244.5,247.0,240.0,240.0,230.67161560058594,487316
2020-05-21,243.5,244.0,236.0,238.0,228.7493438720703,737107
2020-05-22,238.5,240.0,232.0,232.0,222.98257446289062,1102506
2020-05-25,232.0,232.5,220.5,226.5,217.69635009765625,1627505
2020-05-26,231.0,247.5,230.0,244.5,234.9967041015625,2510656
2020-05-27,244.0,253.5,240.0,240.0,230.67161560058594,2553625
2020-05-28,243.0,245.5,239.0,241.0,231.63275146484375,1013355
2020-05-29,243.5,248.5,242.5,247.0,237.39955139160156,1697522
2020-06-01,249.0,252.5,248.0,250.5,240.76348876953125,1187366
2020-06-02,253.0,263.5,251.5,251.5,241.72463989257812,3324360
2020-06-03,256.5,262.0,254.0,258.0,247.97198486328125,1868869
2020-06-04,261.0,262.5,255.5,261.0,250.8553924560547,1655364
2020-06-05,263.0,263.0,257.0,258.0,247.97198486328125,811763
2020-06-08,260.0,260.5,255.0,255.0,245.08860778808594,579706
2020-06-09,255.5,261.5,250.5,251.0,241.2440643310547,799766
2020-06-10,252.5,255.5,250.0,253.5,243.6468963623047,472444
2020-06-11,255.5,255.5,247.0,247.0,237.39955139160156,614254
2020-06-12,241.5,252.0,241.5,252.0,242.2052001953125,638190
2020-06-15,250.0,250.5,244.0,244.0,234.51614379882812,665907
2020-06-16,247.5,253.5,245.5,252.0,242.2052001953125,682350
2020-06-17,253.0,254.5,248.5,249.0,239.32180786132812,304507
2020-06-18,251.0,253.5,246.0,252.5,242.68576049804688,417000
2020-06-19,258.0,277.5,256.0,277.5,266.71405029296875,4794495
2020-06-22,277.0,277.0,262.0,270.0,259.5055847167969,4267774
2020-06-23,273.5,280.0,267.0,267.0,256.6221618652344,3005513
2020-06-24,270.5,282.0,269.0,269.0,258.54443359375,3014860
2020-06-29,265.0,272.0,260.5,269.0,258.54443359375,1557655
2020-06-30,272.0,273.0,263.5,264.0,253.73876953125,1006010
2020-07-01,267.0,269.0,263.5,263.5,253.25823974609375,1084926
2020-07-02,268.0,272.5,265.0,267.0,256.6221618652344,1503351
2020-07-03,270.5,270.5,265.0,265.0,254.69989013671875,900871
2020-07-06,269.0,282.0,268.0,277.0,266.2334899902344,3461917
2020-07-07,279.0,280.5,263.5,264.5,254.21932983398438,2653531
2020-07-08,265.5,277.5,264.5,268.0,257.58331298828125,1973653
2020-07-09,271.0,275.0,268.0,268.5,258.0638732910156,1088275
2020-07-10,270.5,271.5,257.5,260.0,249.8942413330078,1161101
2020-07-13,262.5,277.0,262.0,264.5,254.21932983398438,2200510
2020-07-14,264.5,271.0,262.0,262.5,252.29710388183594,1145127
2020-07-15,265.0,284.5,265.0,266.0,255.6610107421875,7632141
2020-07-16,267.5,269.5,262.0,262.5,252.29710388183594,2538383
2020-07-17,264.5,269.5,258.0,259.0,248.93313598632812,1990200
2020-07-20,261.5,262.0,254.5,257.0,247.01084899902344,849096
2020-07-21,261.0,269.5,261.0,264.0,253.73876953125,1599234
2020-07-22,264.5,266.5,260.0,261.5,251.33595275878906,923110
2020-07-23,263.0,263.5,257.0,260.0,249.8942413330078,688886
2020-07-24,261.5,261.5,255.5,256.0,246.04974365234375,653866
2020-07-27,260.0,260.0,254.5,254.5,244.6080322265625,486066
2020-07-28,257.5,262.0,250.0,250.0,240.28292846679688,867673
2020-07-29,251.0,258.5,250.0,258.5,248.45254516601562,1205817
2020-07-30,253.0,254.0,250.0,250.0,244.89666748046875,653172
2020-07-31,249.0,252.5,249.0,252.5,247.34561157226562,309350
2020-08-03,255.0,262.0,250.5,250.5,245.38644409179688,1626245
2020-08-04,253.5,253.5,246.0,249.0,243.9170684814453,577846
2020-08-05,249.5,251.5,246.5,248.0,242.93748474121094,796075
2020-08-06,251.0,251.0,246.0,246.5,241.46810913085938,668376
2020-08-07,248.0,258.5,248.0,250.5,245.38644409179688,1593130
2020-08-10,251.0,252.0,247.0,249.0,243.9170684814453,663239
2020-08-11,249.0,251.5,246.0,247.0,241.95791625976562,452038
2020-08-12,248.5,248.5,242.5,246.0,240.9783172607422,405106
2020-08-13,250.5,258.5,248.0,248.0,242.93748474121094,1804240
2020-08-14,248.0,249.5,242.5,248.5,243.42727661132812,591101
2020-08-17,249.0,271.0,249.0,269.0,263.5087890625,4822178
2020-08-18,266.5,267.0,258.0,261.5,256.1618957519531,1528613
